ID,Sample,size,ogtissue,tissue,ogshell,shell,situ,site,mass,no,ratio,ratio.m,location,body,Layer
H154,4.2.2,17.34,0.017,0.008548082,0.272,0.153518096,clump,a,106.604,222,,,sport,0.055681265,Top
H155,4.2.2,15.14,0.011,0.008942512,0.217,0.182657793,clump,a,106.604,222,,,sport,0.048957737,Top
H156,4.2.2,14.88,0.01,0.008643818,0.178,0.157674356,clump,a,106.604,222,,,sport,0.054820695,Top
H157,4.2.2,13.15,0.015,0.020084811,0.172,0.219281745,clump,a,106.604,222,,,sport,0.09159363,Top
H158,4.2.2,12.03,0.004,0.007340607,0.099,0.164059716,clump,a,106.604,222,,,sport,0.044743508,Top
H159,4.2.2,15.24,0.014,0.011119131,0.209,0.172544799,clump,a,106.604,222,,,sport,0.064441995,Top
H160,4.2.2,14.92,0.019,0.016267873,0.241,0.211798748,clump,a,106.604,222,,,sport,0.076808165,Top
H162,4.2.2,15.11,0.021,0.017192396,0.232,0.196428352,clump,a,106.604,222,,,sport,0.087525024,Top
H163,4.2.2,13.26,0.015,0.019501015,0.167,0.207745942,clump,a,106.604,222,,,sport,0.093869537,Top
H164,4.2.2,14.1,0.021,0.021964787,0.164,0.170244716,clump,a,106.604,222,,,sport,0.129018907,Top
