"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"N27",7.08,0.00667319147484433,0.0533182879147799,282,"Clump",NA,NA,0.125157647325628
"N23",7.15,0.00322759724558852,0.054550735737993,282,"Clump",NA,NA,0.0591668875208331
"N26",7.14,0.00324288296816376,0.0547718938489435,282,"Clump",NA,NA,0.059207062971154
"N28",7.04,0.00680205570472395,0.0599039017597337,282,"Clump",NA,NA,0.113549460133767
"N24",7.32,0.00596291621121411,0.0560650301648778,282,"Clump",NA,NA,0.106357139087916
"N22",7.01,0.0034504136930531,0.0722000193251033,282,"Clump",NA,NA,0.0477896505472738
"N18",8.51,0.00358604800003234,0.0478137018744882,282,"Clump",NA,NA,0.075000425807769
"N21",9.53,0.00244708079542649,0.0344689876114076,282,"Clump",NA,NA,0.0709936950575429
"N2",9.86,0.00327213365952627,0.0473963436034607,282,"Clump",NA,NA,0.0690376811954613
"N20",9.95,0.00317328729895443,0.047216838351218,282,"Clump",NA,NA,0.0672066874819154
"N30",14.12,0.00259603508584992,0.0469187816310296,282,"Clump",NA,NA,0.0553304027855029
"H20",14.54,0.00293932122489069,0.0445087763155872,310,"Clump",NA,NA,0.06603913808031
"H21",14.98,0.00318947986936507,0.0469424528294527,310,"Clump",NA,NA,0.0679444655555774
"H141",7.08,0.00667319147484433,0.0448996108756041,310,"Clump","Top","Fouled_by_QM",0.148624706199184
"H134",6.53,0.00438392893230627,0.0602696108947456,310,"Clump","Top","Fouling_QM",0.072738630086103
"H133",7.68,0.00507074628547741,0.0554542408662741,310,"Clump","Top",NA,0.0914401893572996
"H124",8.01,0.00659906015270595,0.054996266974109,310,"Clump","Top",NA,0.119991056044088
"H135",8.07,0.00428992454338956,0.0576669704584883,310,"Clump","Top","Fouled_by_QM",0.0743913631890489
"H122",8.58,0.00348823522124493,0.0595759859353091,310,"Clump","Top",NA,0.0585510280103909
"H132",9.64,0.00235408776505353,0.0517409814433915,310,"Clump","Top","Fouling_QM",0.0454975475799405
"H120",14.93,0.00215045496281333,0.0448011889494758,310,"Clump","Top",NA,0.0479999529753214
"H166",13.1,0.00250784561472266,0.0402713739803173,310,"Clump","Bottom",NA,0.06227365413329
"H184",12.43,0.0054892378484126,0.0590028732848585,310,"Clump","Bottom",NA,0.0930333989314596
"H186",13.77,0.00353199295604872,0.0496294470290583,310,"Clump","Bottom","Fouling_QM",0.0711672840920576
"H202",13.1,0.00459771696032487,0.0658555409795777,310,"Clump","Bottom",NA,0.0698151877873215
"H185",14.48,0.00327870413258192,0.050364183227895,310,"Clump","Bottom","Fouling_QM",0.0650999166956798
"H180",14.32,0.00433239318587197,0.0542057165353923,310,"Clump","Bottom","Fouling_QM",0.0799250238310795
