ID,clump,size,lnsize,wetmass,wetdemse,density,ogshell,lnshell,shell,final,foil,ogtissue,lntissue,tissue,ogcondition,condition,totaldense,type
147,17,28.1,3.335769576,1.19,12.901,5,0.428,-0.848632083,0.419243623,,,0.067,-2.70306266,0.065700501,0.156542056,0.156711987,7,clump
148,17,31.5,3.449987546,3.06,12.901,5,1.236,0.211880359,0.800707397,,,0.123,-2.095570924,0.081518554,0.224,0.10180817,7,clump
168,20,26.9,3.292126287,2.896,5.449,2,1.114,0.107957142,1.277972509,,,0.105,-2.253794929,0.119590185,0.094254937,0.093578057,7,clump
169,20,26.8,3.288401888,2.69,5.586,2,0.875,-0.133531393,1.0174186,,,0.116,-2.154165088,0.133817282,0.132571429,0.131526278,7,clump
261,32,31.6,3.453157121,3.277,16.48,4,1.196,0.178982656,0.765955458,,,0.119,-2.128631786,0.078014769,0.254,0.101852879,7,clump
262,32,26.6,3.280911216,2.651,13.569,4,0.964,-0.036663984,1.151715161,,,0.097,-2.3330443,0.114811206,0.100622407,0.099687153,7,clump
263,32,30.8,3.42751469,3.761,13.569,4,1.278,0.245296356,0.898083742,,,0.122,-2.103734234,0.08733482,0.232,0.097245743,7,clump
264,32,31.5,3.449987546,3.88,13.569,4,1.373,0.316998127,0.889458945,,,0.15,-1.897119985,0.099412871,0.274,0.111767802,7,clump
16,2,28.22,3.340030946,3.37,13.664,4,1.474,0.387979794,1.421741642,,,0.091,-2.396895772,0.087940192,0.061736771,0.061853848,8,clump
17,2,29.17,3.373140784,2.771,13.239,4,1.093,0.088926209,0.935168485,,,0.096,-2.343407088,0.082812489,0.087831656,0.08855355,8,clump
18,2,32.11,3.469167508,3.695,13.239,4,1.315,0.273836666,0.794744299,,,0.158,-1.845160246,0.098047697,0.281,0.123370117,8,clump
19,2,27.99,3.331847304,3.403,13.239,4,1.734,0.550430878,1.722813139,,,0.109,-2.216407397,0.108333585,0.062860438,0.062881796,8,clump
42,7,26.77,3.287281858,2.969,15.649,6,1.392,0.330741562,1.625143466,,,0.123,-2.095570924,0.14243862,0.088362069,0.087646797,8,clump
43,7,27.47,3.3130945,3.324,18.413,6,1.185,0.169742775,1.26005522,,,0.127,-2.063568193,0.134609304,0.107172996,0.106828099,8,clump
44,7,24.48,3.197856458,2.443,18.413,6,1.151,0.14063113,1.857451922,,,0.066,-2.718100537,0.103866942,0.057341442,0.055919047,8,clump
45,7,28,3.33220451,2.995,18.413,6,1.273,0.24137632,1.263152845,,,0.111,-2.198225078,0.110186272,0.087195601,0.087231147,8,clump
46,7,31.42,3.447444633,3.379,18.413,6,1.31,0.270027137,0.856494337,,,0.159,-1.838851077,0.106300788,0.247,0.124111489,8,clump
47,7,29.36,3.379633204,3.303,18.413,6,1.212,0.192271888,1.012897009,,,0.148,-1.910543005,0.12485761,0.122112211,0.123267824,8,clump
201,26,27.1,3.299533728,2.427,4.856,2,0.964,-0.036663984,1.076633218,,,0.089,-2.419118909,0.098823879,0.092323651,0.091789736,8,clump
202,26,30.35,3.412796518,5.574,8.001,2,1.158,0.146694379,0.858289217,,,0.157,-1.851509474,0.118209365,0.292,0.137726728,8,clump
328,39,28.3,3.342861805,3.437,6.359,2,1.468,0.38390093,1.401518173,,,0.134,-2.009915479,0.128243063,0.091280654,0.091502961,8,clump
329,39,25.7,3.246490992,2.478,5.915,2,0.901,-0.104250021,1.219288447,,,0.09,-2.407945609,0.119874954,0.099889012,0.098315501,8,clump
38,6,33.93,3.524299579,4.456,17.751,4,1.541,0.432431556,0.76283154,,,0.178,-1.725971729,0.091426885,0.283,0.119851999,9,clump
39,6,28.43,3.347444926,2.889,14.543,4,1.066,0.063913326,1.000978034,,,0.136,-1.995100393,0.128127053,0.127579737,0.128001863,9,clump
40,6,32.65,3.485844856,4.24,14.543,4,1.579,0.456791735,0.898389304,,,0.198,-1.619488248,0.116038584,0.293,0.129162918,9,clump
41,6,30.65,3.422632662,2.958,14.543,4,1.047,0.045928932,0.748872569,,,0.141,-1.958995389,0.102640587,0.247,0.137060151,9,clump
203,27,29.6,3.387774361,3.633,12.918,3,1.479,0.391366184,1.200139568,,,0.177,-1.731605546,0.145210913,0.119675456,0.120995022,9,clump
204,27,26.9,3.292126287,3.007,12.024,3,1.371,0.315540401,1.572800996,,,0.131,-2.032557956,0.149202992,0.095550693,0.094864508,9,clump
205,27,25.9,3.254242969,2.692,12.024,3,0.965,-0.035627178,1.269760292,,,0.114,-2.171556831,0.147857452,0.118134715,0.116445169,9,clump
205,27,25.9,3.254242969,2.692,12.024,3,0.965,-0.035627178,1.269760292,,,0.114,-2.171556831,0.147857452,0.118134715,0.116445169,9,clump
183,23,26.9,3.292126287,3.108,22.697,8,1.187,0.171429116,1.361717566,,,0.079,-2.538307427,0.089977377,0.066554339,0.066076387,10,clump
184,23,28.8,3.360375387,3.124,24.202,8,1.146,0.136277618,1.026888727,,,0.081,-2.513306124,0.073000418,0.070680628,0.071088927,10,clump
185,23,29.1,3.370738174,2.986,24.202,8,1.066,0.063913326,0.920034597,,,0.095,-2.353878387,0.082627994,0.089118199,0.08980966,10,clump
186,23,22.6,3.117949906,3.259,24.202,8,1.111,0.105260511,2.394313883,,,0.108,-2.225624052,0.223557049,0.097209721,0.093369984,10,clump
187,23,20.7,3.0301337,2.537,24.202,8,0.894,-0.112049504,2.647673585,,,0.112,-2.189256408,0.3133259,0.125279642,0.118340079,10,clump
188,23,27.8,3.325036021,2.716,24.202,8,1.044,0.043059489,1.063158246,,,0.104,-2.26336438,0.10580745,0.099616858,0.099521826,10,clump
189,23,27.7,3.321432413,3.406,24.202,8,1.128,0.120446153,1.163782735,,,0.117,-2.145581344,0.120513809,0.103723404,0.103553529,10,clump
190,23,30.2,3.407841924,3.066,24.202,8,1.143,0.133656385,0.862503113,,,0.107,-2.234926445,0.08194388,0.211,0.095007054,10,clump
315,37,29.3,3.377587516,4.302,17.774,5,1.64,0.494696242,1.380774115,,,0.133,-2.017406151,0.112993188,0.081097561,0.081833217,10,clump
316,37,29.8,3.394508394,3.287,15.226,5,1.156,0.14496577,0.915449797,,,0.103,-2.273026291,0.082571847,0.089100346,0.090198116,10,clump
317,37,26.4,3.27336401,2.787,15.226,5,1.021,0.020782539,1.25360034,,,0.094,-2.364460497,0.114178134,0.092066601,0.091080172,10,clump
318,37,28,3.33220451,3.035,15.226,5,1.15,0.139761942,1.141104298,,,0.118,-2.137070655,0.117134956,0.102608696,0.102650525,10,clump
319,37,26.8,3.288401888,1.815,15.226,5,0.673,-0.396009949,0.782540249,,,0.079,-2.538307427,0.091134183,0.117384844,0.11645942,10,clump
31,4,28.61,3.353756307,2.167,14.422,5,1.053,0.051643233,0.966436448,,,0.092,-2.385966702,0.084818021,0.087369421,0.087763682,11,clump
32,4,28.03,3.333275365,3.037,15.867,5,1.189,0.173112618,1.175237972,,,0.126,-2.071473372,0.124617742,0.105971405,0.106036177,11,clump
33,4,29.65,3.389462125,3.371,15.867,5,1.443,0.36672428,1.163795034,,,0.135,-2.002480501,0.11011478,0.093555094,0.094616987,11,clump
34,4,31.26,3.442339325,3.646,15.867,5,1.367,0.312618558,0.910433028,,,0.138,-1.980501594,0.093890892,0.261,0.103127731,11,clump
35,4,32.19,3.471655845,3.646,15.867,5,1.939,0.662172376,1.161361562,,,0.121,-2.111964733,0.074449019,0.237,0.064104945,11,clump
122,12,29.99,3.400863993,3.721,22.527,7,1.268,0.237440856,0.981305023,,,0.12,-2.120263536,0.094125767,0.094637224,0.09591897,11,clump
123,12,30.4,3.414442608,3.725,23.247,7,1.334,0.288181947,0.982863102,,,0.158,-1.845160246,0.118292512,0.283,0.120355023,11,clump
124,12,26.78,3.28765534,2.721,23.247,7,1.072,0.069526063,1.249856309,,,0.112,-2.189256408,0.129534161,0.104477612,0.103639242,11,clump
125,12,23.61,3.161670351,1.415,23.247,7,0.438,-0.825536369,0.805760942,,,0.075,-2.590267165,0.133628344,0.171232877,0.165841178,11,clump
126,12,30.87,3.429784839,3.812,23.247,7,1.282,0.248421358,0.893521487,,,0.141,-1.958995389,0.100153246,0.237,0.112088235,11,clump
127,12,32.77,3.489513463,4.383,23.247,7,1.499,0.404798219,0.841620857,,,0.158,-1.845160246,0.091438575,0.32,0.108645805,11,clump
128,12,28.28,3.342154841,3.47,23.247,7,1.287,0.252313929,1.231863748,,,0.164,-1.807888851,0.157335254,0.127428127,0.127721312,11,clump
133,14,25.12,3.223664342,2.609,10.013,4,0.96,-0.040821995,1.41104131,,,0.059,-2.830217835,0.084984793,0.061458333,0.060228423,11,clump
134,14,29.46,3.383033411,3.369,11.997,4,1.439,0.363948428,1.187894415,,,0.12,-2.120263536,0.100062073,0.083391244,0.084234821,11,clump
136,14,24.04,3.17971911,3.108,11.997,4,0.985,-0.015113638,1.697434589,,,0.112,-2.189256408,0.187572588,0.113705584,0.110503574,11,clump
137,14,28.3,3.342861805,2.911,11.997,4,1.001,0.0009995,0.955667364,,,0.116,-2.154165088,0.111016383,0.115884116,0.116166343,11,clump
164,19,30.3,3.411147713,4.425,41.921,4,1.466,0.382537603,1.093078191,,,0.161,-1.826350914,0.121908565,0.302,0.111527762,11,clump
165,19,25.9,3.254242969,2.518,14.5,4,1.079,0.076034686,1.419763063,,,0.107,-2.234926445,0.138778486,0.099165894,0.097747638,11,clump
166,19,29.7,3.391147046,3.503,14.5,4,0.952,-0.049190244,0.763129384,,,0.143,-1.944910649,0.115967948,0.150210084,0.151963679,11,clump
167,19,29.9,3.39785848,4.054,14.5,4,1.236,0.211880359,0.967004162,,,0.154,-1.870802677,0.122046436,0.124595469,0.12621087,11,clump
20,3,27.05,3.297687005,2.517,24.295,9,1.05,0.048790164,1.180547207,,,0.115,-2.162823151,0.128505189,0.10952381,0.108852224,12,clump
