"ID","size","tissue","shell","clump.size","type","layer","fouling"
"H212",17.04,0.017,0.193,310,"Clump","Bottom",NA
"N160",17.06,0.025,0.238,282,"Clump","Top",NA
"H191",17.07,0.023,0.28,310,"Clump","Bottom",NA
"M15",17.07,0.026,0.24,99,"Clump",NA,NA
"H196",17.08,0.02,0.254,310,"Clump","Bottom",NA
"N113",17.1,0.025,0.282,282,"Clump","Bottom",NA
"N46",17.11,0.018,0.253,282,"Clump","Bottom","Fouled_by_QM"
"H71",17.11,0.022,0.276,310,"Clump","Top",NA
"L60",17.11,0.019,0.196,92,"Clump",NA,NA
"M27",17.11,0.023,0.231,99,"Clump",NA,NA
"L22",17.12,0.016,0.16,92,"Clump",NA,NA
"N133",17.14,0.022,0.237,282,"Clump","Bottom",NA
"N179",17.15,0.023,0.235,282,"Clump","Top",NA
"H224",17.16,0.024,0.275,310,"Clump","Bottom",NA
"H85",17.17,0.021,0.293,310,"Clump","Top",NA
"M25",17.17,0.02,0.211,99,"Clump",NA,"Fouling_QM"
"N122",17.17,0.024,0.209,282,"Clump","Bottom",NA
"M69",17.18,0.034,0.24,99,"Clump",NA,NA
"H131",17.22,0.02,0.23,310,"Clump","Top",NA
"N188",17.22,0.023,0.244,282,"Clump","Top",NA
"L27",17.26,0.03,0.218,92,"Clump",NA,NA
"N14",17.28,0.02,0.233,282,"Clump",NA,NA
"N98",17.28,0.028,0.237,282,"Clump","Top","Fouling_QM"
"H111",17.29,0.023,0.269,310,"Clump","Bottom",NA
"N193",17.32,0.024,0.221,282,"Clump","Top",NA
"N95",17.33,0.024,0.247,282,"Clump","Top",NA
"H154",17.34,0.017,0.272,310,"Clump","Top",NA
"N161",17.34,0.03,0.281,282,"Clump","Top",NA
"H126",17.35,0.028,0.286,310,"Clump","Top",NA
"H211",17.36,0.03,0.243,310,"Clump","Bottom",NA
"K17",17.36,0.034,0.245,116,"Clump",NA,NA
"N167",17.37,0.029,0.292,282,"Clump","Top",NA
"N15",17.39,0.01,0.178,282,"Clump",NA,NA
"H148",17.39,0.022,0.287,310,"Clump","Top",NA
"N108",17.43,0.029,0.257,282,"Clump","Bottom",NA
"N99",17.51,0.025,0.229,282,"Clump","Top","Fouling_QM"
"M31",17.52,0.021,0.193,99,"Clump",NA,"Fouling_QM"
"H51",17.55,0.007,0.231,310,"Clump","Bottom",NA
"L24",17.57,0.03,0.223,92,"Clump",NA,NA
"H95",17.59,0.03,0.294,310,"Clump","Bottom","Fouling_QM"
"N97",17.6,0.026,0.258,282,"Clump","Top","Fouled_by_QM"
"N76",17.6,0.028,0.251,282,"Clump","Bottom",NA
"H146",17.61,0.021,0.251,310,"Clump","Top",NA
"H100",17.62,0.023,0.243,310,"Clump","Bottom","Fouled_by_QM"
"N116",17.67,0.022,0.303,282,"Clump","Bottom",NA
"H107",17.72,0.027,0.297,310,"Clump","Bottom",NA
"N156",17.74,0.023,0.253,282,"Clump","Bottom",NA
"H80",17.85,0.027,0.231,310,"Clump","Top",NA
"L61",17.95,0.034,0.265,92,"Clump",NA,"Fouling_QM"
"N66",17.97,0.026,0.248,282,"Clump","Top",NA
"H91",17.98,0.023,0.274,310,"Clump","Bottom","Fouling_QM"
"N165",18,0.022,0.273,282,"Clump","Top",NA
"H203",18.01,0.018,0.266,310,"Clump","Bottom","Fouled_by_ZM"
"N42",18.05,0.023,0.271,282,"Clump","Bottom","Fouling_QM"
"N115",18.07,0.035,0.283,282,"Clump","Bottom",NA
"H72",18.09,0.031,0.253,310,"Clump","Top",NA
"H145",18.12,0.029,0.327,310,"Clump","Top",NA
"N70",18.12,0.027,0.273,282,"Clump","Top",NA
"H74",18.16,0.023,0.265,310,"Clump","Top",NA
"H171",18.16,0.026,0.295,310,"Clump","Bottom",NA
"L74",18.17,0.019,0.241,92,"Clump",NA,"Fouling_QM"
"L82",18.18,0.032,0.277,92,"Clump",NA,NA
"N45",18.2,0.023,0.242,282,"Clump","Bottom",NA
"H104",18.23,0.028,0.276,310,"Clump","Bottom",NA
"L8",18.24,0.021,0.265,92,"Clump",NA,NA
"N60",18.24,0.035,0.276,282,"Clump","Top",NA
"N189",18.26,0.031,0.262,282,"Clump","Top",NA
"H55",18.34,0.011,0.289,310,"Clump","Bottom",NA
"N100",18.38,0.037,0.308,282,"Clump","Top",NA
"N170",18.4,0.028,0.29,282,"Clump","Top",NA
"H138",18.41,0.024,0.313,310,"Clump","Top","Fouled_by_QM"
"N91",18.42,0.025,0.307,282,"Clump",NA,NA
"K67",18.46,0.026,0.292,116,"Clump",NA,NA
"L63",18.47,0.028,0.304,92,"Clump",NA,NA
"K28",18.5,0.039,0.332,116,"Clump",NA,NA
"N105",18.54,0.031,0.289,282,"Clump","Bottom",NA
"H102",18.62,0.028,0.283,310,"Clump","Bottom",NA
"N47",18.67,0.024,0.232,282,"Clump","Bottom",NA
"N178",18.8,0.012,0.118,282,"Clump","Top",NA
"N94",18.83,0.04,0.285,282,"Clump",NA,NA
"H210",18.86,0.024,0.285,310,"Clump","Bottom",NA
"N107",19.06,0.027,0.269,282,"Clump","Bottom",NA
"H215",19.15,0.027,0.326,310,"Clump","Bottom","Fouled_by_QM"
"N175",19.16,0.031,0.358,282,"Clump","Top",NA
"H182",19.25,0.022,0.297,310,"Clump","Bottom",NA
"N41",19.27,0.028,0.277,282,"Clump","Bottom","Fouling_QM"
"M78",19.28,0.036,0.268,99,"Clump",NA,NA
"N181",19.73,0.027,0.328,282,"Clump","Top",NA
"N37",19.78,0.033,0.287,282,"Clump",NA,NA
"H153",19.82,0.028,0.33,310,"Clump","Top",NA
"H46",20.66,0.031,0.35,310,"Clump","Bottom","Fouling_QM"
"N1",36.21,0.012,0.131,282,"Clump",NA,NA
"F6",7.11,0.002,0.021,48,"Mono",NA,NA
"H7",7.13,0.002,0.015,28,"Mono",NA,NA
"G3",7.16,0.002,0.017,48,"Mono",NA,NA
"F5",7.2,0.003,0.021,48,"Mono",NA,NA
"H4",7.24,0.002,0.02,28,"Mono",NA,NA
"F10",7.31,0.001,0.02,48,"Mono",NA,NA
"H19",7.32,0.001,0.027,28,"Mono",NA,NA
"E8",7.35,0.002,0.015,38,"Mono",NA,NA
"E3",7.46,0.002,0.017,38,"Mono",NA,NA
"G19",7.58,0.002,0.022,48,"Mono",NA,NA
"G17",7.62,0.002,0.021,48,"Mono",NA,NA
"F11",7.81,0.002,0.025,48,"Mono",NA,NA
"H5",8.05,0.003,0.028,28,"Mono",NA,NA
"E4",8.14,0.002,0.021,38,"Mono",NA,NA
"F12",8.23,0.004,0.029,48,"Mono",NA,NA
"H1",8.4,0.003,0.032,28,"Mono",NA,NA
"G16",8.85,0.003,0.036,48,"Mono",NA,NA
"H14",9.15,0.004,0.04,28,"Mono",NA,NA
"E7",9.42,0.004,0.038,38,"Mono",NA,NA
"F8",9.43,0.005,0.046,48,"Mono",NA,NA
"F3",9.85,0.033,0.173,48,"Mono",NA,NA
"G15",10.01,0.004,0.045,48,"Mono",NA,NA
"F14",10.17,0.01,0.087,48,"Mono",NA,NA
"G14",10.31,0.003,0.038,48,"Mono",NA,NA
"H10",11.5,0.007,0.077,28,"Mono",NA,NA
"H2",11.82,0.01,0.105,28,"Mono",NA,NA
"F2",12.15,0.01,0.101,48,"Mono",NA,NA
"E2",12.33,0.011,0.092,38,"Mono",NA,NA
"H17",12.65,0.018,0.157,28,"Mono",NA,NA
"H6",12.8,0.012,0.137,28,"Mono",NA,NA
"F13",12.95,0.01,0.108,48,"Mono",NA,NA
"G12",13.13,0.02,0.172,48,"Mono",NA,NA
"H11",13.44,0.015,0.155,28,"Mono",NA,NA
"G10",13.66,0.012,0.137,48,"Mono",NA,NA
"H13",13.83,0.016,0.17,28,"Mono",NA,NA
"F15",14.08,0.021,0.152,48,"Mono",NA,NA
"G13",15.44,0.034,0.217,48,"Mono",NA,NA
"G8",15.8,0.018,0.201,48,"Mono",NA,NA
"F4",17.33,0.027,0.212,48,"Mono",NA,NA
"G9",17.61,0.023,0.215,48,"Mono",NA,NA
"",7,0.001,0.014,1,"Singleton",NA,NA
"",9.14,0.002,0.032,1,"Singleton",NA,NA
"",9.3,0.002,0.035,1,"Singleton",NA,NA
"",9.65,0.002,0.041,1,"Singleton",NA,NA
"",9.69,0.003,0.039,1,"Singleton",NA,NA
"",11.06,0.005,0.047,1,"Singleton",NA,NA
"",11.08,0.004,0.053,1,"Singleton",NA,NA
"",11.33,0.006,0.085,1,"Singleton",NA,NA
"",11.53,0.006,0.087,1,"Singleton",NA,NA
"",12.35,0.006,0.084,1,"Singleton",NA,NA
"",12.36,0.007,0.096,1,"Singleton",NA,NA
"",12.53,0.005,0.083,1,"Singleton",NA,NA
"",12.67,0.01,0.109,1,"Singleton",NA,NA
"",12.79,0.006,0.084,1,"Singleton",NA,NA
"",12.95,0.006,0.082,1,"Singleton",NA,NA
"",13.18,0.007,0.083,1,"Singleton",NA,NA
"B6",13.36,0.014,0.127,1,"Singleton",NA,NA
"",13.78,0.008,0.111,1,"Singleton",NA,NA
"",15.76,0.01,0.134,1,"Singleton",NA,NA
"",16.31,0.009,0.174,1,"Singleton",NA,NA
"",18.33,0.024,0.278,1,"Singleton",NA,NA
"M27",9.58,0.009,0.064,48,"Mono",NA,NA
"M30",9.58,0.003,0.048,48,"Mono",NA,NA
"M28",11.68,0.01,0.072,48,"Mono",NA,NA
"M26",12.4,0.02,0.139,48,"Mono",NA,NA
"M29",12.43,0.018,0.137,48,"Mono",NA,NA
"M25",12.5,0.018,0.129,48,"Mono",NA,NA
"M23",13.49,0.02,0.111,48,"Mono",NA,NA
"M24",14.93,0.024,0.215,48,"Mono",NA,NA
"M2",10.03,0.004,0.039,48,"Mono",NA,NA
"M16",11.02,0.011,0.09,48,"Mono",NA,NA
"M10",11.44,0.005,0.081,48,"Mono",NA,NA
"M3",12.33,0.011,0.115,48,"Mono",NA,NA
"M5",14.14,0.018,0.138,48,"Mono",NA,NA
"M20",14.37,0.022,0.177,48,"Mono",NA,NA
"M7",14.45,0.025,0.191,48,"Mono",NA,NA
"M4",14.52,0.021,0.159,48,"Mono",NA,NA
"M18",14.81,0.023,0.169,48,"Mono",NA,NA
"M19",15.97,0.022,0.173,48,"Mono",NA,NA
"M1",16.2,0.023,0.177,48,"Mono",NA,NA
"M6",17,0.029,0.222,48,"Mono",NA,NA
"M21",11.75,0.017,0.108,48,"Mono",NA,NA
"M13",12.69,0.016,0.123,48,"Mono",NA,NA
"M11",13.96,0.016,0.131,48,"Mono",NA,NA
"M15",13.97,0.02,0.173,48,"Mono",NA,NA
"M9",14.68,0.022,0.194,48,"Mono",NA,NA
"M22",15.07,0.021,0.203,48,"Mono",NA,NA
"M14",15.84,0.029,0.247,48,"Mono",NA,NA
"M17",16.08,0.022,0.179,48,"Mono",NA,NA
"M12",16.11,0.029,0.208,48,"Mono",NA,NA
"M8",16.67,0.026,0.236,48,"Mono",NA,NA
