"ID","size","tissue","shell","clump.size","type","layer","fouling"
"M61",12.34,0.012,0.107,99,"Clump",NA,NA
"M18",12.36,0.005,0.093,99,"Clump",NA,NA
"K5",12.39,0.012,0.129,116,"Clump",NA,"Fouling_QM"
"N200",12.55,0.008,0.124,282,"Clump","Top","Fouling_QM"
"M44",12.58,0.013,0.119,99,"Clump",NA,"Fouling_QM"
"M68",12.59,0.012,0.131,99,"Clump",NA,"Fouling_QM"
"L49",12.61,0.012,0.115,92,"Clump",NA,NA
"M40",12.66,0.018,0.117,99,"Clump",NA,"Fouling_QM"
"N4",12.67,0.012,0.131,282,"Clump",NA,NA
"K57",12.68,0.011,0.113,116,"Clump",NA,NA
"K69",12.69,0.016,0.121,116,"Clump",NA,NA
"L53",12.73,0.016,0.134,92,"Clump",NA,NA
"L62",12.76,0.008,0.088,92,"Clump",NA,NA
"H173",12.78,0.004,0.084,310,"Clump","Bottom","Fouled_by_QM"
"K13",12.79,0.016,0.121,116,"Clump",NA,"Fouled_by_QM"
"H121",12.81,0.005,0.089,310,"Clump","Top",NA
"H175",12.82,0.007,0.073,310,"Clump","Bottom","Fouling_QM"
"K68",12.82,0.011,0.103,116,"Clump",NA,"Fouling_QM"
"H26",12.85,0.01,0.114,310,"Clump",NA,NA
"K60",12.87,0.005,0.112,116,"Clump",NA,"Fouled_by_QM"
"K7",12.88,0.015,0.118,116,"Clump",NA,NA
"M79",12.96,0.01,0.112,99,"Clump",NA,"Fouling_QM"
"H41",12.97,0.009,0.132,310,"Clump","Bottom",NA
"K19",12.99,0.016,0.128,116,"Clump",NA,NA
"L72",13.02,0.011,0.147,92,"Clump",NA,"Fouled_by_QM"
"H200",13.03,0.009,0.103,310,"Clump","Bottom",NA
"N82",13.05,0.003,0.096,282,"Clump","Bottom",NA
"H47",13.06,0.009,0.125,310,"Clump","Bottom","Fouling_QM"
"N92",13.09,0.013,0.118,282,"Clump",NA,NA
"H221",13.1,0.016,0.144,310,"Clump","Bottom",NA
"H157",13.15,0.015,0.172,310,"Clump","Top",NA
"N39",13.23,0.014,0.14,282,"Clump","Bottom","Fouling_QM"
"M21",13.23,0.011,0.09,99,"Clump",NA,NA
"K16",13.25,0.006,0.092,116,"Clump",NA,NA
"H177",13.25,0.01,0.139,310,"Clump","Bottom",NA
"H163",13.26,0.015,0.167,310,"Clump","Top",NA
"N186",13.34,0.009,0.117,282,"Clump","Top","Fouling_ZM"
"N16",13.34,0.012,0.136,282,"Clump",NA,NA
"L75",13.34,0.014,0.125,92,"Clump",NA,"Fouling_QM"
"M81",13.38,0.013,0.162,99,"Clump",NA,"Fouling_QM"
"N124",13.4,0.011,0.132,282,"Clump","Bottom",NA
"M26",13.4,0.015,0.126,99,"Clump",NA,NA
"N141",13.42,0.009,0.141,282,"Clump","Bottom",NA
"H38",13.42,0.01,0.128,310,"Clump","Bottom",NA
"H217",13.42,0.016,0.151,310,"Clump","Bottom","Fouling_QM"
"H205",13.44,0.011,0.149,310,"Clump","Bottom","Fouling_ZM"
"H225",13.44,0.011,0.134,310,"Clump","Bottom",NA
"L58",13.46,0.009,0.094,92,"Clump",NA,NA
"H112",13.49,0.015,0.14,310,"Clump","Bottom",NA
"H48",13.5,0.015,0.154,310,"Clump","Bottom","Fouling_QM"
"M83",13.5,0.018,0.173,99,"Clump",NA,"Fouled_by_QM"
"L21",13.51,0.012,0.132,92,"Clump",NA,NA
"H197",13.57,0.004,0.091,310,"Clump","Bottom","Fouled_by_ZM"
"H207",13.57,0.018,0.158,310,"Clump","Bottom","Fouling_QM"
"H83",13.59,0.013,0.153,310,"Clump","Top",NA
"L54",13.59,0.014,0.15,92,"Clump",NA,NA
"M57",13.59,0.015,0.15,99,"Clump",NA,NA
"H106",13.6,0.01,0.128,310,"Clump","Bottom",NA
"L73",13.63,0.011,0.131,92,"Clump",NA,"Fouling_QM"
"N13",13.64,0.011,0.122,282,"Clump",NA,NA
"N54",13.65,0.014,0.159,282,"Clump","Bottom","Fouled_by_QM"
"M50",13.68,0.016,0.128,99,"Clump",NA,NA
"K78",13.7,0.025,0.171,116,"Clump",NA,NA
"N32",13.71,0.011,0.144,282,"Clump",NA,NA
"N118",13.74,0.01,0.122,282,"Clump","Bottom",NA
"L16",13.75,0.017,0.177,92,"Clump",NA,NA
"M73",13.75,0.017,0.087,99,"Clump",NA,NA
"N158",13.79,0.016,0.164,282,"Clump","Bottom",NA
"K22",13.8,0.02,0.181,116,"Clump",NA,NA
"K47",13.82,0.017,0.133,116,"Clump",NA,NA
"N93",13.83,0.012,0.158,282,"Clump",NA,NA
"H76",13.83,0.014,0.15,310,"Clump","Top",NA
"N61",13.83,0.014,0.143,282,"Clump","Top",NA
"K27",13.84,0.02,0.148,116,"Clump",NA,NA
"K74",13.85,0.016,0.15,116,"Clump",NA,NA
"H63",13.86,0.009,0.134,310,"Clump","Bottom",NA
"H119",13.89,0.01,0.114,310,"Clump","Top",NA
"K32",13.91,0.023,0.173,116,"Clump",NA,NA
"N134",13.92,0.017,0.196,282,"Clump","Bottom","Fouling_QM"
"N80",13.92,0.017,0.171,282,"Clump","Bottom","Fouling_QM"
"N136",13.92,0.017,0.142,282,"Clump","Bottom","Fouling_QM"
"H193",13.93,0.007,0.129,310,"Clump","Bottom","Fouled_by_QM"
"H165",13.94,0.01,0.137,310,"Clump","Bottom",NA
"N142",13.94,0.017,0.176,282,"Clump","Bottom","Fouled_by_QM"
"L47",13.99,0.01,0.124,92,"Clump",NA,NA
"H108",14,0.012,0.155,310,"Clump","Bottom",NA
"L42",14.04,0.021,0.216,92,"Clump",NA,NA
"N203",14.05,0.018,0.219,282,"Clump","Bottom",NA
"K12",14.05,0.02,0.14,116,"Clump",NA,NA
"N86",14.08,0.015,0.177,282,"Clump","Bottom",NA
"N67",14.08,0.016,0.153,282,"Clump","Top",NA
"H176",14.08,0.015,0.139,310,"Clump","Bottom",NA
"M41",14.09,0.017,0.161,99,"Clump",NA,"Fouled_by_QM"
"H164",14.1,0.021,0.164,310,"Clump","Top",NA
"N132",14.11,0.008,0.148,282,"Clump","Bottom","Fouled_by_QM"
"H208",14.11,0.009,0.115,310,"Clump","Bottom","Fouling_QM"
"H170",14.12,0.008,0.129,310,"Clump","Bottom",NA
"H79",14.13,0.012,0.19,310,"Clump","Top",NA
"N114",14.14,0.012,0.149,282,"Clump","Bottom",NA
"H50",14.16,0.011,0.184,310,"Clump","Bottom",NA
"K100",14.16,0.014,0.156,116,"Clump",NA,NA
"N135",14.16,0.024,0.263,282,"Clump","Bottom","Fouling_QM"
"N81",14.17,0.017,0.172,282,"Clump","Bottom",NA
"M9",14.18,0.013,0.15,99,"Clump",NA,NA
"L13",14.18,0.02,0.17,92,"Clump",NA,NA
"H77",14.21,0.016,0.145,310,"Clump","Top",NA
"L70",14.22,0.014,0.148,92,"Clump",NA,"Fouled_by_QM"
"H53",14.26,0.015,0.195,310,"Clump","Bottom",NA
"L36",14.26,0.016,0.179,92,"Clump",NA,"Fouling_QM"
"H24",14.27,0.012,0.137,310,"Clump",NA,NA
"N6",14.31,0.007,0.129,282,"Clump",NA,NA
"K43",14.31,0.015,0.146,116,"Clump",NA,"Fouling_QM"
"K41",14.33,0.025,0.125,116,"Clump",NA,NA
"N49",14.34,0.011,0.167,282,"Clump","Bottom","Fouled_by_QM"
"M91",14.34,0.015,0.161,99,"Clump",NA,NA
"K71",14.34,0.015,0.138,116,"Clump",NA,NA
"L79",14.36,0.017,0.179,92,"Clump",NA,"Fouling_QM"
"H216",14.39,0.015,0.182,310,"Clump","Bottom",NA
"L10",14.39,0.024,0.169,92,"Clump",NA,"Fouling_QM"
"H181",14.4,0.016,0.17,310,"Clump","Bottom","Fouled_by_ZM"
"H86",14.4,0.013,0.138,310,"Clump","Top",NA
"H62",14.41,0.02,0.182,310,"Clump","Bottom",NA
"H115",14.45,0.013,0.154,310,"Clump",NA,NA
"N185",14.46,0.013,0.162,282,"Clump","Top","Fouling_QM"
"N68",14.47,0.02,0.203,282,"Clump","Top",NA
"N5",14.48,0.007,0.136,282,"Clump",NA,NA
"H136",14.48,0.011,0.162,310,"Clump","Top",NA
"L65",14.49,0.013,0.161,92,"Clump",NA,"Fouled_by_QM"
"N184",14.49,0.018,0.162,282,"Clump","Top",NA
"N121",14.5,0.012,0.139,282,"Clump","Bottom",NA
"N65",14.51,0.018,0.201,282,"Clump","Top",NA
"K58",14.52,0.016,0.145,116,"Clump",NA,NA
"K91",14.54,0.013,0.118,116,"Clump",NA,"Fouling_QM"
"N87",14.54,0.021,0.183,282,"Clump","Bottom",NA
"L44",14.55,0.021,0.189,92,"Clump",NA,NA
"N101",14.55,0.023,0.174,282,"Clump","Top",NA
"L76",14.56,0.017,0.196,92,"Clump",NA,NA
"H101",14.56,0.021,0.215,310,"Clump","Bottom",NA
"H137",14.59,0.015,0.162,310,"Clump","Top",NA
"M89",14.59,0.018,0.159,99,"Clump",NA,NA
"K31",14.6,0.022,0.173,116,"Clump",NA,NA
"L48",14.61,0.02,0.165,92,"Clump",NA,NA
"M47",14.66,0.021,0.176,99,"Clump",NA,NA
"N154",14.68,0.016,0.208,282,"Clump","Bottom",NA
"H23",14.69,0.009,0.104,310,"Clump",NA,NA
"H144",14.69,0.016,0.18,310,"Clump","Top",NA
"M10",14.69,0.023,0.198,99,"Clump",NA,NA
"H88",14.72,0.012,0.166,310,"Clump","Bottom",NA
"L40",14.72,0.012,0.154,92,"Clump",NA,"Fouling_QM"
"M34",14.73,0.023,0.216,99,"Clump",NA,NA
"H82",14.78,0.012,0.164,310,"Clump","Top",NA
"H93",14.79,0.005,0.099,310,"Clump","Bottom",NA
"H178",14.8,0.019,0.177,310,"Clump","Bottom",NA
"N89",14.8,0.021,0.188,282,"Clump",NA,"Fouling_QM"
"M22",14.81,0.014,0.168,99,"Clump",NA,"Fouled_by_ZM"
"N52",14.82,0.013,0.163,282,"Clump","Bottom","Fouled_by_ZM"
"N177",14.83,0.018,0.201,282,"Clump","Top",NA
"N111",14.84,0.017,0.199,282,"Clump","Bottom",NA
"K26",14.84,0.022,0.18,116,"Clump",NA,NA
"K53",14.85,0.017,0.196,116,"Clump",NA,NA
"M33",14.86,0.016,0.155,99,"Clump",NA,NA
"H156",14.88,0.01,0.178,310,"Clump","Top",NA
"N126",14.9,0.019,0.185,282,"Clump","Bottom",NA
"N183",14.91,0.015,0.191,282,"Clump","Top",NA
"H89",14.91,0.014,0.158,310,"Clump","Bottom",NA
"H160",14.92,0.019,0.241,310,"Clump","Top",NA
"N194",14.94,0.01,0.12,282,"Clump","Top","Fouling_QM"
"H128",14.95,0.018,0.228,310,"Clump","Top",NA
"H67",14.96,0.017,0.199,310,"Clump",NA,NA
"K93",15.01,0.015,0.164,116,"Clump",NA,NA
"N51",15.01,0.023,0.22,282,"Clump","Bottom","Fouled_by_QM"
"N88",15.02,0.016,0.223,282,"Clump",NA,"Fouled_by_QM"
"N96",15.04,0.021,0.197,282,"Clump","Top",NA
"N117",15.05,0.015,0.221,282,"Clump","Bottom",NA
"N166",15.06,0.017,0.179,282,"Clump","Top","Fouling_QM"
"H223",15.07,0.01,0.135,310,"Clump","Bottom",NA
"H187",15.08,0.018,0.258,310,"Clump","Bottom","Fouled_by_QM"
"H73",15.09,0.008,0.167,310,"Clump","Top",NA
"H125",15.1,0.015,0.177,310,"Clump","Top",NA
"H110",15.11,0.013,0.197,310,"Clump","Bottom",NA
"H162",15.11,0.021,0.232,310,"Clump","Top",NA
"H155",15.14,0.011,0.217,310,"Clump","Top",NA
"N77",15.16,0.015,0.224,282,"Clump","Bottom","Fouled_by_QM"
"M60",15.16,0.016,0.16,99,"Clump",NA,"Fouling_QM"
"N84",15.16,0.019,0.186,282,"Clump","Bottom","Fouled_by_QM"
"K4",15.2,0.015,0.154,116,"Clump",NA,NA
"H139",15.2,0.016,0.162,310,"Clump","Top","Fouling_QM"
"L3",15.21,0.012,0.123,92,"Clump",NA,NA
"H214",15.22,0.012,0.161,310,"Clump","Bottom","Fouling_QM"
"H159",15.24,0.014,0.209,310,"Clump","Top",NA
"H127",15.25,0.016,0.18,310,"Clump","Top",NA
"L68",15.25,0.017,0.176,92,"Clump",NA,NA
"L52",15.26,0.025,0.201,92,"Clump",NA,NA
"K40",15.26,0.022,0.166,116,"Clump",NA,NA
"N202",15.29,0.011,0.176,282,"Clump","Bottom",NA
"N130",15.29,0.022,0.233,282,"Clump","Bottom",NA
"H130",15.3,0.017,0.18,310,"Clump","Top",NA
"H65",15.31,0.018,0.188,310,"Clump","Bottom",NA
"M63",15.31,0.023,0.193,99,"Clump",NA,NA
"N75",15.32,0.024,0.233,282,"Clump","Bottom","Fouled_by_ZM"
"L69",15.32,0.021,0.196,92,"Clump",NA,"Fouling_QM"
"N195",15.34,0.025,0.18,282,"Clump","Top","Fouling_QM"
"M29",15.36,0.019,0.178,99,"Clump",NA,NA
"N146",15.36,0.027,0.198,282,"Clump","Bottom","Fouled_by_QM"
"H189",15.37,0.018,0.178,310,"Clump","Bottom",NA
"N152",15.41,0.017,0.228,282,"Clump","Bottom",NA
"H49",15.42,0.018,0.184,310,"Clump","Bottom",NA
"H198",15.42,0.02,0.19,310,"Clump","Bottom","Fouling_QM"
"M28",15.44,0.017,0.198,99,"Clump",NA,"Fouling_QM"
"N109",15.52,0.015,0.183,282,"Clump","Bottom",NA
"H59",15.52,0.02,0.187,310,"Clump","Bottom",NA
"K44",15.53,0.023,0.195,116,"Clump",NA,NA
"M66",15.6,0.023,0.197,99,"Clump",NA,NA
"K36",15.61,0.027,0.191,116,"Clump",NA,NA
"K77",15.64,0.031,0.227,116,"Clump",NA,NA
"M45",15.66,0.025,0.196,99,"Clump",NA,NA
"H172",15.67,0.017,0.23,310,"Clump","Bottom","Fouling_QM"
"H109",15.67,0.02,0.218,310,"Clump","Bottom",NA
"N150",15.67,0.021,0.192,282,"Clump","Bottom","Fouling_QM"
"N143",15.68,0.021,0.185,282,"Clump","Bottom",NA
"H140",15.69,0.018,0.214,310,"Clump","Top",NA
"H190",15.69,0.018,0.21,310,"Clump","Bottom",NA
"H94",15.69,0.032,0.249,310,"Clump","Bottom","Fouling_QM"
"M82",15.7,0.018,0.215,99,"Clump",NA,NA
"H52",15.71,0.012,0.177,310,"Clump","Bottom","Fouled_by_QM"
"K86",15.74,0.033,0.245,116,"Clump",NA,NA
"H149",15.76,0.016,0.203,310,"Clump","Top",NA
"N171",15.76,0.018,0.195,282,"Clump","Top","Fouling_QM"
"M30",15.79,0.017,0.206,99,"Clump",NA,NA
"K96",15.79,0.034,0.277,116,"Clump",NA,NA
"N55",15.8,0.019,0.197,282,"Clump",NA,NA
"N40",15.81,0.012,0.146,282,"Clump","Bottom",NA
"N38",15.82,0.017,0.194,282,"Clump","Bottom","Fouled_by_QM"
"L46",15.82,0.033,0.209,92,"Clump",NA,NA
"K70",15.83,0.022,0.162,116,"Clump",NA,NA
"H209",15.86,0.018,0.223,310,"Clump","Bottom","Fouled_by_QM"
"H90",15.87,0.014,0.215,310,"Clump","Bottom",NA
"M77",15.87,0.022,0.184,99,"Clump",NA,NA
"K75",15.88,0.022,0.205,116,"Clump",NA,NA
"N106",15.91,0.011,0.195,282,"Clump","Bottom",NA
"H151",15.92,0.017,0.233,310,"Clump","Top",NA
"N137",15.94,0.019,0.182,282,"Clump","Bottom",NA
"N69",15.94,0.021,0.188,282,"Clump","Top",NA
"H222",15.95,0.014,0.214,310,"Clump","Bottom",NA
"H70",15.95,0.022,0.213,310,"Clump","Bottom",NA
"L80",15.96,0.019,0.204,92,"Clump",NA,"Fouled_by_QM"
"H69",15.96,0.02,0.189,310,"Clump","Bottom",NA
"M90",15.97,0.02,0.179,99,"Clump",NA,"Fouling_ZM"
"N71",15.97,0.023,0.173,282,"Clump","Top",NA
"N50",15.98,0.015,0.167,282,"Clump","Bottom",NA
"M80",15.98,0.019,0.188,99,"Clump",NA,NA
"L37",15.99,0.021,0.181,92,"Clump",NA,NA
"K80",15.99,0.032,0.22,116,"Clump",NA,"Fouling_QM"
"H169",16,0.017,0.172,310,"Clump","Bottom",NA
"H143",16,0.028,0.238,310,"Clump","Top",NA
"M49",16.03,0.027,0.177,99,"Clump",NA,NA
"N59",16.05,0.019,0.252,282,"Clump","Top",NA
"N139",16.06,0.013,0.211,282,"Clump","Bottom","Fouling_QM"
"N131",16.06,0.023,0.23,282,"Clump","Bottom",NA
"H87",16.06,0.033,0.231,310,"Clump","Bottom",NA
"H103",16.07,0.017,0.172,310,"Clump","Bottom","Fouling_QM"
"M32",16.07,0.024,0.24,99,"Clump",NA,"Fouling_QM"
"H105",16.1,0.017,0.24,310,"Clump","Bottom",NA
"N180",16.11,0.021,0.227,282,"Clump","Top",NA
"N129",16.12,0.018,0.161,282,"Clump","Bottom","Fouling_QM"
"N43",16.13,0.017,0.194,282,"Clump","Bottom",NA
"K9",16.15,0.021,0.176,116,"Clump",NA,NA
"N176",16.15,0.025,0.181,282,"Clump","Top",NA
"L34",16.18,0.025,0.254,92,"Clump",NA,NA
"H218",16.21,0.018,0.217,310,"Clump","Bottom","Fouled_by_QM"
"N147",16.24,0.016,0.184,282,"Clump","Bottom","Fouling_QM"
"N90",16.24,0.024,0.259,282,"Clump",NA,NA
"H168",16.24,0.027,0.202,310,"Clump","Bottom","Fouling_QM"
"H204",16.25,0.019,0.225,310,"Clump","Bottom","Fouled_by_ZM"
"H206",16.26,0.015,0.183,310,"Clump","Bottom",NA
"N138",16.26,0.024,0.239,282,"Clump","Bottom",NA
"M8",16.27,0.022,0.229,99,"Clump",NA,NA
"H66",16.31,0.027,0.261,310,"Clump",NA,NA
"M16",16.31,0.028,0.194,99,"Clump",NA,NA
"N35",16.33,0.016,0.182,282,"Clump",NA,NA
"H192",16.34,0.015,0.161,310,"Clump","Bottom",NA
"N110",16.38,0.022,0.183,282,"Clump","Bottom",NA
"M76",16.39,0.029,0.252,99,"Clump",NA,NA
"H25",16.41,0.013,0.198,310,"Clump",NA,NA
"L20",16.45,0.021,0.185,92,"Clump",NA,NA
"N112",16.45,0.024,0.207,282,"Clump","Bottom",NA
"N162",16.46,0.022,0.255,282,"Clump","Top","Fouled_by_QM"
"N172",16.46,0.026,0.251,282,"Clump","Top",NA
"H183",16.46,0.03,0.263,310,"Clump","Bottom",NA
"N151",16.47,0.018,0.217,282,"Clump","Bottom",NA
"N79",16.47,0.019,0.212,282,"Clump","Bottom","Fouled_by_QM"
"H97",16.51,0.019,0.254,310,"Clump","Bottom",NA
"N140",16.51,0.02,0.199,282,"Clump","Bottom",NA
"K52",16.51,0.036,0.267,116,"Clump",NA,NA
"H84",16.52,0.023,0.241,310,"Clump","Top",NA
"H75",16.53,0.018,0.223,310,"Clump","Top","Fouling_QM"
"N57",16.55,0.017,0.199,282,"Clump",NA,NA
"L23",16.56,0.018,0.189,92,"Clump",NA,NA
"H78",16.56,0.023,0.237,310,"Clump","Top",NA
"L78",16.58,0.023,0.233,92,"Clump",NA,"Fouled_by_QM"
"L11",16.59,0.029,0.225,92,"Clump",NA,NA
"N63",16.61,0.024,0.277,282,"Clump","Top",NA
"H58",16.61,0.018,0.198,310,"Clump","Bottom",NA
"L38",16.61,0.026,0.26,92,"Clump",NA,NA
"H188",16.62,0.019,0.238,310,"Clump","Bottom","Fouled_by_ZM"
"N201",16.62,0.012,0.15,282,"Clump","Bottom",NA
"N199",16.63,0.031,0.242,282,"Clump","Top","Fouled_by_QM"
"N153",16.64,0.021,0.243,282,"Clump","Bottom","Fouling_QM"
"N149",16.66,0.025,0.232,282,"Clump","Bottom","Fouling_QM"
"N148",16.67,0.021,0.237,282,"Clump","Bottom",NA
"H92",16.71,0.028,0.279,310,"Clump","Bottom","Fouled_by_QM"
"N120",16.72,0.022,0.272,282,"Clump","Bottom",NA
"H96",16.76,0.022,0.262,310,"Clump","Bottom",NA
"H226",16.78,0.019,0.239,310,"Clump","Bottom",NA
"H81",16.79,0.026,0.22,310,"Clump","Top","Fouling_QM"
"N198",16.81,0.023,0.214,282,"Clump","Top",NA
"H150",16.82,0.016,0.229,310,"Clump","Top",NA
"K92",16.82,0.03,0.239,116,"Clump",NA,NA
"H39",16.85,0.024,0.224,310,"Clump","Bottom",NA
"H213",16.85,0.028,0.217,310,"Clump","Bottom","Fouling_QM"
"M71",16.86,0.021,0.214,99,"Clump",NA,NA
"K21",16.87,0.027,0.248,116,"Clump",NA,"Fouling_QM"
"N78",16.9,0.022,0.253,282,"Clump","Bottom","Fouling_QM"
"H57",16.91,0.028,0.235,310,"Clump","Bottom",NA
"H56",16.92,0.017,0.234,310,"Clump","Bottom","Fouling_QM"
"N72",16.92,0.029,0.233,282,"Clump","Top",NA
"H99",16.93,0.017,0.247,310,"Clump","Bottom","Fouled_by_QM"
"N48",16.96,0.021,0.205,282,"Clump","Bottom",NA
"N64",16.96,0.031,0.24,282,"Clump","Top",NA
"K79",16.96,0.036,0.277,116,"Clump",NA,"Fouling_QM"
"H98",16.97,0.019,0.247,310,"Clump","Bottom",NA
"K3",16.98,0.021,0.203,116,"Clump",NA,"Fouling_QM"
"L7",16.98,0.026,0.238,92,"Clump",NA,NA
"L9",17,0.024,0.24,92,"Clump",NA,NA
"H194",17,0.028,0.239,310,"Clump","Bottom","Fouling_QM"
"M1",17.01,0.022,0.221,99,"Clump",NA,NA
"N83",17.02,0.024,0.259,282,"Clump","Bottom","Fouling_QM"
