ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
H106,4.1.1,13.6,2.610069793,0.01,-4.605170186,0.011885879,0.128,-2.055725015,0.147786119,4,106.604,222,2.69047619,14.85189591,sport,0.080426221,Clump,high
L73,3.4,13.63,2.612273246,0.011,-4.509860006,0.012972851,0.131,-2.032557956,0.150271217,3,26.279,92,1.967741935,5.332289157,sport,0.086329582,Clump,mid
N13,2,13.64,2.613006652,0.011,-4.509860006,0.012939205,0.122,-2.103734234,0.139645194,2,91.724,282,2.098901099,12.80138429,sport,0.092657715,Clump,high
N54,2.1.1,13.65,2.613739522,0.014,-4.268697949,0.016425398,0.159,-1.838851077,0.181604093,2,91.724,282,2.098901099,12.80138429,sport,0.090446188,Clump,high
M50,5.1,13.68,2.615934912,0.016,-4.135166557,0.018626519,0.128,-2.055725015,0.14525451,5,26.516,99,1.605263158,4.463836802,sport,0.128233669,Clump,mid
K78,1.4,13.7,2.617395833,0.025,-3.688879454,0.028953766,0.171,-1.766091722,0.193217571,1,25.697,116,2.135135135,9.707083333,sport,0.149850586,Clump,mid
N32,2,13.71,2.618125494,0.011,-4.509860006,0.012706784,0.144,-1.937941979,0.162360152,2,91.724,282,2.098901099,12.80138429,sport,0.078262946,Clump,high
N118,2.2.1,13.74,2.620311287,0.01,-4.605170186,0.011462558,0.122,-2.103734234,0.136672209,2,91.724,282,2.098901099,12.80138429,sport,0.083868977,Clump,high
L16,3.1,13.75,2.621038824,0.017,-4.074541935,0.019436213,0.177,-1.731605546,0.197862192,3,26.279,92,1.967741935,5.332289157,sport,0.098231061,Clump,mid
M73,5.2,13.75,2.621038824,0.017,-4.074541935,0.019436213,0.087,-2.44184716,0.097254298,5,26.516,99,1.605263158,4.463836802,sport,0.199849399,Clump,mid
N158,2.3.1,13.79,2.623943692,0.016,-4.135166557,0.018105707,0.164,-1.807888851,0.181767745,2,91.724,282,2.098901099,12.80138429,sport,0.099609023,Clump,high
K22,1.1,13.8,2.624668592,0.02,-3.912023005,0.022574115,0.181,-1.709258248,0.200181567,1,25.697,116,2.135135135,9.707083333,sport,0.1127682,Clump,mid
K47,1.2,13.82,2.626116818,0.017,-4.074541935,0.01908985,0.133,-2.017406151,0.146468504,1,25.697,116,2.135135135,9.707083333,sport,0.130334166,Clump,mid
N93,2.2,13.83,2.626840146,0.012,-4.422848629,0.013440719,0.158,-1.845160246,0.173629791,2,91.724,282,2.098901099,12.80138429,sport,0.07741021,Clump,high
H76,4.1.2,13.83,2.626840146,0.014,-4.268697949,0.015680838,0.15,-1.897119985,0.16483841,4,106.604,222,2.69047619,14.85189591,sport,0.095128547,Clump,high
N61,2.1.1?,13.83,2.626840146,0.014,-4.268697949,0.015680838,0.143,-1.944910649,0.15714595,2,91.724,282,2.098901099,12.80138429,sport,0.099785189,Clump,high
K27,1.2,13.84,2.62756295,0.02,-3.912023005,0.022343936,0.148,-1.910543005,0.162294609,1,25.697,116,2.135135135,9.707083333,sport,0.13767516,Clump,mid
K74,1.4,13.85,2.628285233,0.016,-4.135166557,0.01782949,0.15,-1.897119985,0.164138147,1,25.697,116,2.135135135,9.707083333,sport,0.108624901,Clump,mid
H63,4.1.1,13.86,2.629006994,0.009,-4.710530702,0.010003489,0.134,-2.009915479,0.146318628,4,106.604,222,2.69047619,14.85189591,sport,0.068367842,Clump,high
H119,4.2.2,13.89,2.631169157,0.01,-4.605170186,0.011030214,0.114,-2.171556831,0.123689643,4,106.604,222,2.69047619,14.85189591,sport,0.089176535,Clump,high
K32,1.2,13.91,2.632608006,0.023,-3.772261063,0.025240564,0.173,-1.754463684,0.186910491,1,25.697,116,2.135135135,9.707083333,sport,0.135040916,Clump,mid
N134,2.2.1,13.92,2.633326655,0.017,-4.074541935,0.018608654,0.196,-1.62964062,0.211312011,2,91.724,282,2.098901099,12.80138429,sport,0.088062455,Clump,high
N80,2.1.2?,13.92,2.633326655,0.017,-4.074541935,0.018608654,0.171,-1.766091722,0.184358948,2,91.724,282,2.098901099,12.80138429,sport,0.100937083,Clump,high
N136,2.2.1,13.92,2.633326655,0.017,-4.074541935,0.018608654,0.142,-1.951928221,0.153093396,2,91.724,282,2.098901099,12.80138429,sport,0.121550994,Clump,high
H193,4.2.1,13.93,2.634044788,0.007,-4.96184513,0.007642927,0.129,-2.047942875,0.138783879,4,106.604,222,2.69047619,14.85189591,sport,0.055070713,Clump,high
H165,4.2.1,13.94,2.634762405,0.01,-4.605170186,0.010890758,0.137,-1.987774353,0.147079361,4,106.604,222,2.69047619,14.85189591,sport,0.074046812,Clump,high
N142,2.2.1,13.94,2.634762405,0.017,-4.074541935,0.018514288,0.176,-1.737271284,0.188948668,2,91.724,282,2.098901099,12.80138429,sport,0.09798581,Clump,high
L47,3.3,13.99,2.638342789,0.01,-4.605170186,0.010753555,0.124,-2.087473713,0.13172615,3,26.279,92,1.967741935,5.332289157,sport,0.081635688,Clump,mid
H108,4.1.1,14,2.63905733,0.012,-4.422848629,0.012871657,0.155,-1.864330162,0.164311441,4,106.604,222,2.69047619,14.85189591,sport,0.078336948,Clump,high
L42,3.3,14.04,2.641910399,0.021,-3.863232841,0.022298977,0.216,-1.532476871,0.227059434,3,26.279,92,1.967741935,5.332289157,sport,0.098207668,Clump,mid
N203,2.3.1,14.05,2.642622396,0.018,-4.017383521,0.019065282,0.219,-1.518683549,0.229730661,2,91.724,282,2.098901099,12.80138429,sport,0.082989713,Clump,high
K12,1.1,14.05,2.642622396,0.02,-3.912023005,0.021183646,0.14,-1.966112856,0.146859783,1,25.697,116,2.135135135,9.707083333,sport,0.144244024,Clump,mid
N86,2.1.2?,14.08,2.644755351,0.015,-4.199705078,0.01576819,0.177,-1.731605546,0.184509675,2,91.724,282,2.098901099,12.80138429,sport,0.085459962,Clump,high
N67,2.1.1?,14.08,2.644755351,0.016,-4.135166557,0.016819403,0.153,-1.877317358,0.159491414,2,91.724,282,2.098901099,12.80138429,sport,0.105456476,Clump,high
H176,4.2.1,14.08,2.644755351,0.015,-4.199705078,0.01576819,0.139,-1.973281346,0.144897429,4,106.604,222,2.69047619,14.85189591,sport,0.108823117,Clump,high
M41,5.1,14.09,2.645465326,0.017,-4.074541935,0.017825744,0.161,-1.826350914,0.167480169,5,26.516,99,1.605263158,4.463836802,sport,0.106434957,Clump,mid
H164,4.2.2,14.1,2.646174797,0.021,-3.863232841,0.021964787,0.164,-1.807888851,0.170244716,4,106.604,222,2.69047619,14.85189591,sport,0.129018907,Clump,high
N132,2.2.1,14.11,2.646883766,0.008,-4.828313737,0.008346558,0.148,-1.910543005,0.153314924,2,91.724,282,2.098901099,12.80138429,sport,0.05444061,Clump,high
H208,4.2.1,14.11,2.646883766,0.009,-4.710530702,0.009389878,0.115,-2.162823151,0.11912984,4,106.604,222,2.69047619,14.85189591,sport,0.078820535,Clump,high
H170,4.2.1,14.12,2.647592232,0.008,-4.828313737,0.008325645,0.129,-2.047942875,0.133353983,4,106.604,222,2.69047619,14.85189591,sport,0.062432671,Clump,high
H79,4.1.2,14.13,2.648300197,0.012,-4.422848629,0.0124572,0.19,-1.660731207,0.196003619,4,106.604,222,2.69047619,14.85189591,sport,0.063555969,Clump,high
N114,2.2.1,14.14,2.64900766,0.012,-4.422848629,0.012426032,0.149,-1.903808973,0.153388079,2,91.724,282,2.098901099,12.80138429,sport,0.081010416,Clump,high
H50,4.1.1,14.16,2.650421088,0.011,-4.509860006,0.011333663,0.184,-1.692819521,0.188631743,4,106.604,222,2.69047619,14.85189591,sport,0.06008354,Clump,high
K100,1.4,14.16,2.650421088,0.014,-4.268697949,0.014424662,0.156,-1.857899272,0.159926913,1,25.697,116,2.135135135,9.707083333,sport,0.090195337,Clump,mid
N135,2.2.1,14.16,2.650421088,0.024,-3.729701449,0.024727992,0.263,-1.335601247,0.269620372,2,91.724,282,2.098901099,12.80138429,sport,0.091714107,Clump,high
N81,2.1.2?,14.17,2.651127054,0.017,-4.074541935,0.017471929,0.172,-1.760260802,0.175963328,2,91.724,282,2.098901099,12.80138429,sport,0.099293015,Clump,high
M9,5,14.18,2.651832521,0.013,-4.342805922,0.013327552,0.15,-1.897119985,0.153137792,5,26.516,99,1.605263158,4.463836802,sport,0.087029807,Clump,mid
L13,3.1,14.18,2.651832521,0.02,-3.912023005,0.020503927,0.17,-1.771956842,0.173556165,3,26.279,92,1.967741935,5.332289157,sport,0.118140009,Clump,mid
H77,4.1.2,14.21,2.653945942,0.016,-4.135166557,0.016280845,0.145,-1.931021537,0.147114387,4,106.604,222,2.69047619,14.85189591,sport,0.11066793,Clump,high
L70,3.4,14.22,2.654649424,0.014,-4.268697949,0.014210297,0.148,-1.910543005,0.149847259,3,26.279,92,1.967741935,5.332289157,sport,0.094831876,Clump,mid
H53,4.1.1,14.26,2.657458415,0.015,-4.199705078,0.015074628,0.195,-1.63475572,0.195806808,4,106.604,222,2.69047619,14.85189591,sport,0.076987251,Clump,high
L36,3.3,14.26,2.657458415,0.016,-4.135166557,0.016079603,0.179,-1.720369473,0.179740609,3,26.279,92,1.967741935,5.332289157,sport,0.089460046,Clump,mid
H24,4,14.27,2.658159431,0.012,-4.422848629,0.012029804,0.137,-1.987774353,0.137283025,4,106.604,222,2.69047619,14.85189591,sport,0.087627758,Clump,high
N6,2,14.31,2.660958594,0.007,-4.96184513,0.006948174,0.129,-2.047942875,0.128204907,2,91.724,282,2.098901099,12.80138429,sport,0.05419585,Clump,high
K43,1.2,14.31,2.660958594,0.015,-4.199705078,0.014888944,0.146,-1.924148657,0.145100127,1,25.697,116,2.135135135,9.707083333,sport,0.102611516,Clump,mid
K41,1.2,14.33,2.662355242,0.025,-3.688879454,0.024692487,0.125,-2.079441542,0.123719466,1,25.697,116,2.135135135,9.707083333,sport,0.199584493,Clump,mid
N49,2.1.1,14.34,2.663052835,0.011,-4.509860006,0.01083789,0.167,-1.789761467,0.164949867,2,91.724,282,2.098901099,12.80138429,sport,0.065704143,Clump,high
M91,5.2,14.34,2.663052835,0.015,-4.199705078,0.01477894,0.161,-1.826350914,0.159023525,5,26.516,99,1.605263158,4.463836802,sport,0.09293556,Clump,mid
K71,1.4,14.34,2.663052835,0.015,-4.199705078,0.01477894,0.138,-1.980501594,0.136305878,1,25.697,116,2.135135135,9.707083333,sport,0.10842482,Clump,mid
L79,3.4,14.36,2.664446564,0.017,-4.074541935,0.016667008,0.179,-1.720369473,0.176078103,3,26.279,92,1.967741935,5.332289157,sport,0.094656901,Clump,mid
H216,4.2.1,14.39,2.666533521,0.015,-4.199705078,0.014597906,0.182,-1.703748592,0.177931807,4,106.604,222,2.69047619,14.85189591,sport,0.08204214,Clump,high
L10,3.1,14.39,2.666533521,0.024,-3.729701449,0.02335665,0.169,-1.777856564,0.165222392,3,26.279,92,1.967741935,5.332289157,sport,0.141364919,Clump,mid
H181,4.2.1,14.4,2.667228207,0.016,-4.135166557,0.015532844,0.17,-1.771956842,0.165860251,4,106.604,222,2.69047619,14.85189591,sport,0.09365019,Clump,high
H86,4.1.2,14.4,2.667228207,0.013,-4.342805922,0.012620436,0.138,-1.980501594,0.134639498,4,106.604,222,2.69047619,14.85189591,sport,0.093735018,Clump,high
H62,4.1.1,14.41,2.66792241,0.02,-3.912023005,0.019368386,0.182,-1.703748592,0.177205256,4,106.604,222,2.69047619,14.85189591,sport,0.10929916,Clump,high
H115,4.2,14.45,2.670694415,0.013,-4.342805922,0.012466481,0.154,-1.870802677,0.148723413,4,106.604,222,2.69047619,14.85189591,sport,0.08382326,Clump,high
N185,2.3.3,14.46,2.671386217,0.013,-4.342805922,0.01243598,0.162,-1.820158944,0.156130778,2,91.724,282,2.098901099,12.80138429,sport,0.079651047,Clump,high
N68,2.1.1?,14.47,2.672077541,0.02,-3.912023005,0.019085499,0.203,-1.5945493,0.195247303,2,91.724,282,2.098901099,12.80138429,sport,0.097750382,Clump,high
N5,2,14.48,2.672768387,0.007,-4.96184513,0.006663603,0.136,-1.995100393,0.130540125,2,91.724,282,2.098901099,12.80138429,sport,0.0510464,Clump,high
H136,4.2.2,14.48,2.672768387,0.011,-4.509860006,0.010471377,0.162,-1.820158944,0.155496325,4,106.604,222,2.69047619,14.85189591,sport,0.067341636,Clump,high
L65,3.4,14.49,2.673458756,0.013,-4.342805922,0.012345048,0.161,-1.826350914,0.15422249,3,26.279,92,1.967741935,5.332289157,sport,0.080047002,Clump,mid
N184,2.3.3,14.49,2.673458756,0.018,-4.017383521,0.017093143,0.162,-1.820158944,0.155180394,2,91.724,282,2.098901099,12.80138429,sport,0.110150148,Clump,high
N121,2.2.1,14.5,2.674148649,0.012,-4.422848629,0.011367625,0.139,-1.973281346,0.13287827,2,91.724,282,2.098901099,12.80138429,sport,0.085549164,Clump,high
N65,2.1.1?,14.51,2.674838067,0.018,-4.017383521,0.017009862,0.201,-1.604450371,0.191757853,2,91.724,282,2.098901099,12.80138429,sport,0.088704902,Clump,high
K58,1.3,14.52,2.675527009,0.016,-4.135166557,0.015083036,0.145,-1.931021537,0.138052301,1,25.697,116,2.135135135,9.707083333,sport,0.109255957,Clump,mid
K91,1.4,14.54,2.676903472,0.013,-4.342805922,0.012195381,0.118,-2.137070655,0.111891363,1,25.697,116,2.135135135,9.707083333,sport,0.10899305,Clump,mid
N87,2.1.2?,14.54,2.676903472,0.021,-3.863232841,0.019700231,0.183,-1.698269126,0.173526436,2,91.724,282,2.098901099,12.80138429,sport,0.1135287,Clump,high
L44,3.3,14.55,2.677590994,0.021,-3.863232841,0.019652329,0.189,-1.666008264,0.178853204,3,26.279,92,1.967741935,5.332289157,sport,0.109879656,Clump,mid
N101,2.2.2,14.55,2.677590994,0.023,-3.772261063,0.021523979,0.174,-1.74869998,0.164658505,2,91.724,282,2.098901099,12.80138429,sport,0.130718902,Clump,high
L76,3.4,14.56,2.678278043,0.017,-4.074541935,0.015870371,0.196,-1.62964062,0.185102362,3,26.279,92,1.967741935,5.332289157,sport,0.085738349,Clump,mid
H101,4.1.1,14.56,2.678278043,0.021,-3.863232841,0.019604576,0.215,-1.537117251,0.203045958,4,106.604,222,2.69047619,14.85189591,sport,0.096552406,Clump,high
H137,4.2.2,14.59,2.680336363,0.015,-4.199705078,0.013901576,0.162,-1.820158944,0.152067856,4,106.604,222,2.69047619,14.85189591,sport,0.091416929,Clump,high
M89,5.2,14.59,2.680336363,0.018,-4.017383521,0.016681892,0.159,-1.838851077,0.149251785,5,26.516,99,1.605263158,4.463836802,sport,0.111770132,Clump,mid
K31,1.2,14.6,2.681021529,0.022,-3.816712826,0.020339572,0.173,-1.754463684,0.162065991,1,25.697,116,2.135135135,9.707083333,sport,0.125501788,Clump,mid
L48,3.3,14.61,2.681706226,0.02,-3.912023005,0.018445743,0.165,-1.801809805,0.154260135,3,26.279,92,1.967741935,5.332289157,sport,0.119575569,Clump,mid
M47,5.1,14.66,2.685122696,0.021,-3.863232841,0.019135133,0.176,-1.737271284,0.162896326,5,26.516,99,1.605263158,4.463836802,sport,0.117468169,Clump,mid
N154,2.3.1,14.68,2.686486023,0.016,-4.135166557,0.014508937,0.208,-1.570217199,0.191742186,2,91.724,282,2.098901099,12.80138429,sport,0.075668988,Clump,high
H23,4,14.69,2.68716699,0.009,-4.710530702,0.008141622,0.104,-2.26336438,0.095678956,4,106.604,222,2.69047619,14.85189591,sport,0.085093127,Clump,high
H144,4.2.2,14.69,2.68716699,0.016,-4.135166557,0.014473994,0.18,-1.714798428,0.165598193,4,106.604,222,2.69047619,14.85189591,sport,0.087404299,Clump,high
M10,5,14.69,2.68716699,0.023,-3.772261063,0.020806366,0.198,-1.619488248,0.182158012,5,26.516,99,1.605263158,4.463836802,sport,0.114221527,Clump,mid
H88,4.1.1,14.72,2.689207113,0.012,-4.422848629,0.010777357,0.166,-1.795767491,0.151803218,4,106.604,222,2.69047619,14.85189591,sport,0.070995577,Clump,high
L40,3.3,14.72,2.689207113,0.012,-4.422848629,0.010777357,0.154,-1.870802677,0.140829492,3,26.279,92,1.967741935,5.332289157,sport,0.0765277,Clump,mid
M34,5.1,14.73,2.68988623,0.023,-3.772261063,0.020606987,0.216,-1.532476871,0.197132286,5,26.516,99,1.605263158,4.463836802,sport,0.104533799,Clump,mid
H82,4.1.2,14.78,2.693274916,0.012,-4.422848629,0.010623232,0.164,-1.807888851,0.148187736,4,106.604,222,2.69047619,14.85189591,sport,0.071687658,Clump,high
H93,4.1.1,14.79,2.693951277,0.005,-5.298317367,0.004415758,0.099,-2.312635429,0.089276726,4,106.604,222,2.69047619,14.85189591,sport,0.049461471,Clump,high
H178,4.2.1,14.8,2.694627181,0.019,-3.9633163,0.016739769,0.177,-1.731605546,0.159298451,4,106.604,222,2.69047619,14.85189591,sport,0.105084315,Clump,high
N89,2,14.8,2.694627181,0.021,-3.863232841,0.018501849,0.188,-1.671313316,0.169198354,2,91.724,282,2.098901099,12.80138429,sport,0.109350056,Clump,high
M22,5.1,14.81,2.695302628,0.014,-4.268697949,0.0123051,0.168,-1.7837913,0.150897963,5,26.516,99,1.605263158,4.463836802,sport,0.081545834,Clump,mid
N52,2.1.1,14.82,2.69597762,0.013,-4.342805922,0.011398887,0.163,-1.814005078,0.146116108,2,91.724,282,2.098901099,12.80138429,sport,0.078012528,Clump,high
N177,2.3.2,14.83,2.696652156,0.018,-4.017383521,0.015745421,0.201,-1.604450371,0.179822291,2,91.724,282,2.098901099,12.80138429,sport,0.087561007,Clump,high
N111,2.2.1,14.84,2.697326238,0.017,-4.074541935,0.014835222,0.199,-1.614450454,0.177679819,2,91.724,282,2.098901099,12.80138429,sport,0.083494133,Clump,high
K26,1.2,14.84,2.697326238,0.022,-3.816712826,0.019198523,0.18,-1.714798428,0.160715414,1,25.697,116,2.135135135,9.707083333,sport,0.119456638,Clump,mid
K53,1.2,14.85,2.697999865,0.017,-4.074541935,0.014799878,0.196,-1.62964062,0.174654282,1,25.697,116,2.135135135,9.707083333,sport,0.084738133,Clump,mid
M33,5.1,14.86,2.698673039,0.016,-4.135166557,0.013896133,0.155,-1.864330162,0.137845815,5,26.516,99,1.605263158,4.463836802,sport,0.100809248,Clump,mid
H156,4.2.2,14.88,2.700018029,0.01,-4.605170186,0.008643818,0.178,-1.725971729,0.157674356,4,106.604,222,2.69047619,14.85189591,sport,0.054820695,Clump,high
N126,2.2.1,14.9,2.701361213,0.019,-3.9633163,0.016345327,0.185,-1.687399454,0.163227858,2,91.724,282,2.098901099,12.80138429,sport,0.100138095,Clump,high
N183,2.3.3,14.91,2.702032129,0.015,-4.199705078,0.012873585,0.191,-1.655481851,0.168188977,2,91.724,282,2.098901099,12.80138429,sport,0.076542383,Clump,high
H89,4.1.1,14.91,2.702032129,0.014,-4.268697949,0.012015346,0.158,-1.845160246,0.139130148,4,106.604,222,2.69047619,14.85189591,sport,0.086360477,Clump,high
H160,4.2.2,14.92,2.702702595,0.019,-3.9633163,0.016267873,0.241,-1.422958345,0.211798748,4,106.604,222,2.69047619,14.85189591,sport,0.076808165,Clump,high
N194,2.3.3,14.94,2.70404218,0.01,-4.605170186,0.008521521,0.12,-2.120263536,0.105044589,2,91.724,282,2.098901099,12.80138429,sport,0.081122893,Clump,high
H128,4.2.2,14.95,2.7047113,0.018,-4.017383521,0.015302438,0.228,-1.47840965,0.199191679,4,106.604,222,2.69047619,14.85189591,sport,0.076822676,Clump,high
H67,4.1,14.96,2.705379973,0.017,-4.074541935,0.014418123,0.199,-1.614450454,0.173513752,4,106.604,222,2.69047619,14.85189591,sport,0.083094988,Clump,high
K93,1.4,15.01,2.708716646,0.015,-4.199705078,0.012572447,0.164,-1.807888851,0.141597514,1,25.697,116,2.135135135,9.707083333,sport,0.088790026,Clump,mid
N51,2.1.1,15.01,2.708716646,0.023,-3.772261063,0.019277752,0.22,-1.514127733,0.189947884,2,91.724,282,2.098901099,12.80138429,sport,0.10148969,Clump,high
N88,2,15.02,2.709382646,0.016,-4.135166557,0.013379021,0.223,-1.500583508,0.192160686,2,91.724,282,2.098901099,12.80138429,sport,0.069624132,Clump,high
N96,2.2.2,15.04,2.710713319,0.021,-3.863232841,0.017477419,0.197,-1.62455155,0.169092132,2,91.724,282,2.098901099,12.80138429,sport,0.103360331,Clump,high
N117,2.2.1,15.05,2.711377991,0.015,-4.199705078,0.012454523,0.221,-1.509592577,0.189321111,2,91.724,282,2.098901099,12.80138429,sport,0.065785178,Clump,high
N166,2.3.2,15.06,2.712042222,0.017,-4.074541935,0.014081966,0.179,-1.720369473,0.153041764,2,91.724,282,2.098901099,12.80138429,sport,0.092013874,Clump,high
H223,4.2.1,15.07,2.712706013,0.01,-4.605170186,0.008264062,0.135,-2.002480501,0.115197068,4,106.604,222,2.69047619,14.85189591,sport,0.071738473,Clump,high
H187,4.2.1,15.08,2.713369363,0.018,-4.017383521,0.014840411,0.258,-1.354795694,0.219724585,4,106.604,222,2.69047619,14.85189591,sport,0.067540969,Clump,high
H73,4.1.2,15.09,2.714032273,0.008,-4.828313737,0.006580274,0.167,-1.789761467,0.141947344,4,106.604,222,2.69047619,14.85189591,sport,0.046357147,Clump,high
H125,4.2.2,15.1,2.714694744,0.015,-4.199705078,0.012309105,0.177,-1.731605546,0.150153852,4,106.604,222,2.69047619,14.85189591,sport,0.081976617,Clump,high
H110,4.1.1,15.11,2.715356776,0.013,-4.342805922,0.010642912,0.197,-1.62455155,0.166794764,4,106.604,222,2.69047619,14.85189591,sport,0.063808429,Clump,high
H162,4.2.2,15.11,2.715356776,0.021,-3.863232841,0.017192396,0.232,-1.461017907,0.196428352,4,106.604,222,2.69047619,14.85189591,sport,0.087525024,Clump,high
H155,4.2.2,15.14,2.717340248,0.011,-4.509860006,0.008942512,0.217,-1.527857925,0.182657793,4,106.604,222,2.69047619,14.85189591,sport,0.048957737,Clump,high
N77,2.1.2?,15.16,2.71866038,0.015,-4.199705078,0.012137464,0.224,-1.496109227,0.187818112,2,91.724,282,2.098901099,12.80138429,sport,0.064623504,Clump,high
M60,5.2,15.16,2.71866038,0.016,-4.135166557,0.012946629,0.16,-1.832581464,0.134155794,5,26.516,99,1.605263158,4.463836802,sport,0.096504432,Clump,mid
N84,2.1.2?,15.16,2.71866038,0.019,-3.9633163,0.015374122,0.186,-1.682008605,0.155956111,2,91.724,282,2.098901099,12.80138429,sport,0.098579796,Clump,high
K4,1.1,15.2,2.721295428,0.015,-4.199705078,0.01202474,0.154,-1.870802677,0.128126455,1,25.697,116,2.135135135,9.707083333,sport,0.093850564,Clump,mid
H139,4.2.2,15.2,2.721295428,0.016,-4.135166557,0.012826389,0.162,-1.820158944,0.134782375,4,106.604,222,2.69047619,14.85189591,sport,0.095163699,Clump,high
L3,3,15.21,2.721953106,0.012,-4.422848629,0.009597415,0.123,-2.095570924,0.102136682,3,26.279,92,1.967741935,5.332289157,sport,0.093966389,Clump,mid
H214,4.2.1,15.22,2.722610352,0.012,-4.422848629,0.009575105,0.161,-1.826350914,0.133432496,4,106.604,222,2.69047619,14.85189591,sport,0.071759918,Clump,high
H159,4.2.2,15.24,2.72392355,0.014,-4.268697949,0.011119131,0.209,-1.565421027,0.172544799,4,106.604,222,2.69047619,14.85189591,sport,0.064441995,Clump,high
H127,4.2.2,15.25,2.724579503,0.016,-4.135166557,0.012678096,0.18,-1.714798428,0.148316287,4,106.604,222,2.69047619,14.85189591,sport,0.085480136,Clump,high
L68,3.4,15.25,2.724579503,0.017,-4.074541935,0.013470477,0.176,-1.737271284,0.14502037,3,26.279,92,1.967741935,5.332289157,sport,0.092886795,Clump,mid
L52,3.3,15.26,2.725235026,0.025,-3.688879454,0.019763597,0.201,-1.604450371,0.165300322,3,26.279,92,1.967741935,5.332289157,sport,0.119561757,Clump,mid
K40,1.2,15.26,2.725235026,0.022,-3.816712826,0.017391965,0.166,-1.795767491,0.136516684,1,25.697,116,2.135135135,9.707083333,sport,0.127398093,Clump,mid
N202,2.3.1,15.29,2.72719902,0.011,-4.509860006,0.008635716,0.176,-1.737271284,0.14390554,2,91.724,282,2.098901099,12.80138429,sport,0.060009616,Clump,high
N130,2.2.1,15.29,2.72719902,0.022,-3.816712826,0.017271432,0.233,-1.456716825,0.190511312,2,91.724,282,2.098901099,12.80138429,sport,0.090658304,Clump,high
H130,4.2.2,15.3,2.727852828,0.017,-4.074541935,0.013315245,0.18,-1.714798428,0.146892915,4,106.604,222,2.69047619,14.85189591,sport,0.090645928,Clump,high
H65,4.1.1,15.31,2.72850621,0.018,-4.017383521,0.014065913,0.188,-1.671313316,0.153126458,4,106.604,222,2.69047619,14.85189591,sport,0.091858151,Clump,high
M63,5.2,15.31,2.72850621,0.023,-3.772261063,0.017973111,0.193,-1.64506509,0.15719897,5,26.516,99,1.605263158,4.463836802,sport,0.114333519,Clump,mid
N75,2.1.2?,15.32,2.729159164,0.024,-3.729701449,0.018711239,0.233,-1.456716825,0.189414359,2,91.724,282,2.098901099,12.80138429,sport,0.098784689,Clump,high
L69,3.4,15.32,2.729159164,0.021,-3.863232841,0.016372334,0.196,-1.62964062,0.159335684,3,26.279,92,1.967741935,5.332289157,sport,0.102753717,Clump,mid
N195,2.3.3,15.34,2.730463796,0.025,-3.688879454,0.019401039,0.18,-1.714798428,0.145767362,2,91.724,282,2.098901099,12.80138429,sport,0.133095906,Clump,high
M29,5.1,15.36,2.731766728,0.019,-3.9633163,0.014676919,0.178,-1.725971729,0.143595483,5,26.516,99,1.605263158,4.463836802,sport,0.10221017,Clump,mid
N146,2.3.1,15.36,2.731766728,0.027,-3.611918413,0.020856674,0.198,-1.619488248,0.159729807,2,91.724,282,2.098901099,12.80138429,sport,0.130574714,Clump,high
H189,4.2.1,15.37,2.732417558,0.018,-4.017383521,0.013872442,0.178,-1.725971729,0.143320425,4,106.604,222,2.69047619,14.85189591,sport,0.096793197,Clump,high
N152,2.3.1,15.41,2.735016649,0.017,-4.074541935,0.012981724,0.228,-1.47840965,0.182178689,2,91.724,282,2.098901099,12.80138429,sport,0.07125819,Clump,high
H49,4.1.1,15.42,2.735665368,0.018,-4.017383521,0.013713816,0.184,-1.692819521,0.14674069,4,106.604,222,2.69047619,14.85189591,sport,0.093456124,Clump,high
H198,4.2.1,15.42,2.735665368,0.02,-3.912023005,0.015237573,0.19,-1.660731207,0.151525713,4,106.604,222,2.69047619,14.85189591,sport,0.100560975,Clump,high
M28,5.1,15.44,2.736961545,0.017,-4.074541935,0.012892627,0.198,-1.619488248,0.157303924,5,26.516,99,1.605263158,4.463836802,sport,0.081959986,Clump,mid
N109,2.2.1,15.52,2.742129515,0.015,-4.199705078,0.011169565,0.183,-1.698269126,0.143190231,2,91.724,282,2.098901099,12.80138429,sport,0.078005079,Clump,high
H59,4.1.1,15.52,2.742129515,0.02,-3.912023005,0.014892754,0.187,-1.676646662,0.146320072,4,106.604,222,2.69047619,14.85189591,sport,0.101782028,Clump,high
K44,1.2,15.53,2.742773637,0.023,-3.772261063,0.017087648,0.195,-1.63475572,0.152290496,1,25.697,116,2.135135135,9.707083333,sport,0.112204298,Clump,mid
M66,5.2,15.6,2.747270914,0.023,-3.772261063,0.016817685,0.197,-1.62455155,0.151827506,5,26.516,99,1.605263158,4.463836802,sport,0.110768368,Clump,mid
K36,1.2,15.61,2.747911735,0.027,-3.611918413,0.019697752,0.191,-1.655481851,0.146925682,1,25.697,116,2.135135135,9.707083333,sport,0.134066093,Clump,mid
K77,1.4,15.64,2.749831735,0.031,-3.473768074,0.0224627,0.227,-1.482805262,0.17363357,1,25.697,116,2.135135135,9.707083333,sport,0.129368414,Clump,mid
M45,5.1,15.66,2.751109691,0.025,-3.688879454,0.01803329,0.196,-1.62964062,0.149358125,5,26.516,99,1.605263158,4.463836802,sport,0.120738597,Clump,mid
