ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
K39,1.2,9.75,2.277267285,0.008,-4.828313737,0.030897065,0.08,-2.525728644,0.246213402,1,25.697,116,2.135135135,9.707083333,sport,0.125488965,Clump,mid
N19,2,9.77,2.279316466,0.003,-5.80914299,0.011502631,0.034,-3.381394754,0.104010895,2,91.724,282,2.098901099,12.80138429,sport,0.110590636,Clump,high
L1,3,9.79,2.281361457,0.004,-5.521460918,0.015226184,0.048,-3.036554268,0.145956932,3,26.279,92,1.967741935,5.332289157,sport,0.104319702,Clump,mid
N125,2.2.1,9.92,2.294552921,0.003,-5.80914299,0.010898482,0.061,-2.796881415,0.178416801,2,91.724,282,2.098901099,12.80138429,sport,0.061084392,Clump,high
L55,3.3,9.92,2.294552921,0.003,-5.80914299,0.010898482,0.055,-2.900422094,0.160867607,3,26.279,92,1.967741935,5.332289157,sport,0.067748144,Clump,mid
N196,2.3.3,9.95,2.297572551,0.005,-5.298317367,0.017970951,0.052,-2.95651156,0.150746017,2,91.724,282,2.098901099,12.80138429,sport,0.119213438,Clump,high
K101,1.4,10.07,2.309560707,0.005,-5.298317367,0.017224048,0.054,-2.918771232,0.151111751,1,25.697,116,2.135135135,9.707083333,sport,0.113982189,Clump,mid
N159,2.3.1,10.22,2.324346585,0.002,-6.214608098,0.006538181,0.054,-2.918771232,0.144670746,2,91.724,282,2.098901099,12.80138429,sport,0.045193527,Clump,high
N102,2.2.2,10.22,2.324346585,0.004,-5.521460918,0.013076363,0.074,-2.603690186,0.198252503,2,91.724,282,2.098901099,12.80138429,sport,0.065958121,Clump,high
K54,1,10.23,2.32532458,0.006,-5.11599581,0.019546734,0.056,-2.882403588,0.149597284,1,25.697,116,2.135135135,9.707083333,sport,0.130662362,Clump,mid
M64,5.2,10.25,2.327277706,0.005,-5.298317367,0.016176679,0.072,-2.63108916,0.19123584,5,26.516,99,1.605263158,4.463836802,sport,0.084590208,Clump,mid
K103,1.4,10.36,2.337952237,0.008,-4.828313737,0.024922619,0.069,-2.673648774,0.177594107,1,25.697,116,2.135135135,9.707083333,sport,0.140334718,Clump,mid
K81,1.4,10.42,2.343727036,0.005,-5.298317367,0.015261351,0.065,-2.733368009,0.164476689,1,25.697,116,2.135135135,9.707083333,sport,0.092787322,Clump,mid
N173,2.3.2,10.55,2.35612586,0.006,-5.11599581,0.017526971,0.069,-2.673648774,0.168335861,2,91.724,282,2.098901099,12.80138429,sport,0.104119058,Clump,high
K83,1.4,10.55,2.35612586,0.008,-4.828313737,0.023369295,0.064,-2.748872196,0.15613761,1,25.697,116,2.135135135,9.707083333,sport,0.149671146,Clump,mid
K23,1.1,10.58,2.358965426,0.006,-5.11599581,0.017351622,0.071,-2.645075402,0.171772197,1,25.697,116,2.135135135,9.707083333,sport,0.101015313,Clump,mid
L2,3,10.62,2.362739016,0.007,-4.96184513,0.019974858,0.055,-2.900422094,0.131591901,3,26.279,92,1.967741935,5.332289157,sport,0.151793979,Clump,mid
L43,3.3,10.64,2.364620484,0.005,-5.298317367,0.014173016,0.073,-2.617295838,0.173692923,3,26.279,92,1.967741935,5.332289157,sport,0.081598121,Clump,mid
L14,3.1,10.65,2.365559892,0.006,-5.11599581,0.016951138,0.045,-3.101092789,0.106775071,3,26.279,92,1.967741935,5.332289157,sport,0.158755582,Clump,mid
M51,5.1,10.66,2.366498419,0.007,-4.96184513,0.019710714,0.073,-2.617295838,0.172734638,5,26.516,99,1.605263158,4.463836802,sport,0.114109795,Clump,mid
M36,5.1,10.68,2.368372834,0.004,-5.521460918,0.011188755,0.07,-2.659260037,0.164723829,5,26.516,99,1.605263158,4.463836802,sport,0.067924326,Clump,mid
K45,1.2,10.79,2.378619779,0.011,-4.509860006,0.02967265,0.1,-2.302585093,0.228322191,1,25.697,116,2.135135135,9.707083333,sport,0.129959553,Clump,mid
K18,1.1,10.8,2.379546134,0.009,-4.710530702,0.024198117,0.096,-2.343407088,0.218591942,1,25.697,116,2.135135135,9.707083333,sport,0.11069995,Clump,mid
K20,1.1,10.81,2.380471632,0.008,-4.828313737,0.021439062,0.087,-2.44184716,0.197559563,1,25.697,116,2.135135135,9.707083333,sport,0.108519486,Clump,mid
M17,5.1,10.96,2.394252282,0.008,-4.828313737,0.020418009,0.08,-2.525728644,0.174436512,5,26.516,99,1.605263158,4.463836802,sport,0.117051236,Clump,mid
K49,1.2,11.04,2.401525041,0.01,-4.605170186,0.024873626,0.086,-2.453407983,0.183544282,1,25.697,116,2.135135135,9.707083333,sport,0.13551839,Clump,mid
M74,5.2,11.06,2.403334996,0.007,-4.96184513,0.017300303,0.157,-1.851509474,0.333293119,5,26.516,99,1.605263158,4.463836802,sport,0.051907172,Clump,mid
