ID,Sample,size,tissue,shell,situ,site,mass,no,ratio,ratio.m,location,body,clump
L56,3.3,7.64,0.002,0.027,clump,3,26.279,92,1.967741935,5.332289157,sport,0.074074074,mid
L50,3.3,9.7,0.004,0.046,clump,3,26.279,92,1.967741935,5.332289157,sport,0.086956522,mid
L35,3.3,9.74,0.006,0.046,clump,3,26.279,92,1.967741935,5.332289157,sport,0.130434783,mid
L29,3.2,8.55,0.004,0.038,clump,3,26.279,92,1.967741935,5.332289157,sport,0.105263158,mid
L25,3.2,10.17,0.005,0.052,clump,3,26.279,92,1.967741935,5.332289157,sport,0.096153846,mid
L26,3.2,12.27,0.01,0.102,clump,3,26.279,92,1.967741935,5.332289157,sport,0.098039216,mid
L17,3.1,7.49,0.003,0.025,clump,3,26.279,92,1.967741935,5.332289157,sport,0.12,mid
L15,3.1,9.11,0.006,0.048,clump,3,26.279,92,1.967741935,5.332289157,sport,0.125,mid
L6,3,6.79,0.003,0.017,clump,3,26.279,92,1.967741935,5.332289157,sport,0.176470588,mid
L33,3,6.66,0.003,0.021,clump,3,26.279,92,1.967741935,5.332289157,sport,0.142857143,mid
L19,3,11.33,0.008,0.075,clump,3,26.279,92,1.967741935,5.332289157,sport,0.106666667,mid
L4,3,11.15,0.011,0.087,clump,3,26.279,92,1.967741935,5.332289157,sport,0.126436782,mid
M93,5.2,8.87,0.002,0.033,clump,5,26.516,99,1.605263158,4.463836802,sport,0.060606061,mid
M56,5.2,7.95,0.003,0.038,clump,5,26.516,99,1.605263158,4.463836802,sport,0.078947368,mid
M55,5.2,8.12,0.003,0.042,clump,5,26.516,99,1.605263158,4.463836802,sport,0.071428571,mid
M75,5.2,9.06,0.005,0.049,clump,5,26.516,99,1.605263158,4.463836802,sport,0.102040816,mid
M92,5.2,9.67,0.007,0.059,clump,5,26.516,99,1.605263158,4.463836802,sport,0.118644068,mid
M84,5.2,9.84,0.006,0.061,clump,5,26.516,99,1.605263158,4.463836802,sport,0.098360656,mid
M87,5.2,10.46,0.006,0.061,clump,5,26.516,99,1.605263158,4.463836802,sport,0.098360656,mid
M54,5.2,10.97,0.007,0.061,clump,5,26.516,99,1.605263158,4.463836802,sport,0.114754098,mid
M86,5.2,12.8,0.011,0.094,clump,5,26.516,99,1.605263158,4.463836802,sport,0.117021277,mid
M85,5.2,11.52,0.008,0.104,clump,5,26.516,99,1.605263158,4.463836802,sport,0.076923077,mid
M67,5.2,11.53,0.01,0.106,clump,5,26.516,99,1.605263158,4.463836802,sport,0.094339623,mid
M72,5.2,12.12,0.013,0.109,clump,5,26.516,99,1.605263158,4.463836802,sport,0.119266055,mid
M88,5.2,13.53,0.017,0.146,clump,5,26.516,99,1.605263158,4.463836802,sport,0.116438356,mid
M37,5.1,9.34,0.007,0.059,clump,5,26.516,99,1.605263158,4.463836802,sport,0.118644068,mid
M23,5.1,10.73,0.008,0.081,clump,5,26.516,99,1.605263158,4.463836802,sport,0.098765432,mid
M19,5.1,11.64,0.009,0.092,clump,5,26.516,99,1.605263158,4.463836802,sport,0.097826087,mid
M20,5.1,13.29,0.013,0.12,clump,5,26.516,99,1.605263158,4.463836802,sport,0.108333333,mid
M14,5,7.02,0.002,0.02,clump,5,26.516,99,1.605263158,4.463836802,sport,0.1,mid
M2,5,6.5,0.001,0.023,clump,5,26.516,99,1.605263158,4.463836802,sport,0.043478261,mid
M5,5,7.64,0.002,0.025,clump,5,26.516,99,1.605263158,4.463836802,sport,0.08,mid
